text_content,event_type
Humidity levels rising slightly in Lucknow with moderate cloud cover.,Other
severe weather alert: thunderstorm with sudden wind squalls hitting guwahati this evening.,Thunderstorm
"Tempest winds tearing through streets of Visakhapatnam, downing power cables.",StrongWind
severe gusty winds uprooting large trees and damaging tin roofs in kolkata.,StrongWind
Incessant rainfall leading to severe waterlogging on main roads in Ahmedabad. Water levels reaching 2 feet deep.,Flood
Heavy deluge causing river overflow and heavy urban flooding in outskirts of Nagpur.,Flood
"Tempest winds tearing through streets of Visakhapatnam, downing power cables.",StrongWind
Humidity levels rising slightly in Kochi with moderate cloud cover.,Other
"Massive dust storm sweeping through Mumbai, pushing thick dust clouds into residential areas.",DustStorm
Mercury hits seasonal high in Chandigarh. High temperature causing unbearable heatwave conditions.,Heatwave
Strong winds and high velocity squalls creating hazardous conditions in Lucknow.,StrongWind
Light scattered drizzle in parts of Bhopal followed by mild sunshine.,Other
Torrential downpour has inundated low-lying residential sectors near Guwahati. Stranded vehicles reported.,Flood
Severe gusty winds uprooting large trees and damaging tin roofs in Kochi.,StrongWind
Gale force winds and cyclone warnings issued for coastal areas surrounding Chandigarh.,StrongWind
Mild overcast weather in Indore with pleasant afternoon breeze and clear skies.,Other
Scorching heatwave conditions in Patna with mercury touching 44.5 degrees celsius.,Heatwave
Blinding dust haze and windstorm disrupting local markets in Jaipur.,DustStorm
Strong winds and high velocity squalls creating hazardous conditions in Hyderabad.,StrongWind
Scorching heatwave conditions in Patna with mercury touching 44.5 degrees celsius.,Heatwave
"Tempest winds tearing through streets of Bhubaneswar, downing power cables.",StrongWind
Thick dust clouds and turbulent winds creating blinding dust haze in Indore.,DustStorm
Loud thunderclaps and torrential rain accompanied by high lightning activity in Patna.,Thunderstorm
Loud thunderclaps and torrential rain accompanied by high lightning activity in Surat.,Thunderstorm
"tempest winds tearing through streets of bengaluru, downing power cables.",StrongWind
Light scattered drizzle in parts of Bengaluru followed by mild sunshine.,Other
Gale force winds and cyclone warnings issued for coastal areas surrounding Visakhapatnam.,StrongWind
hot summer breeze and blistering sunshine making commute difficult in delhi.,Heatwave
Incessant rainfall leading to severe waterlogging on main roads in Bengaluru. Water levels reaching 2 feet deep.,Flood
Severe gusty winds uprooting large trees and damaging tin roofs in Indore.,StrongWind
Light scattered drizzle in parts of Chennai followed by mild sunshine.,Other
waterlogging reported near railway station and main bus terminus in mumbai. commuters advised to avoid.,Flood
Continuous lightning and severe thunderclaps terrifying residents across Delhi.,Thunderstorm
Cloudburst and severe hailstorm disrupting power supply and damaging crops near Patna.,Thunderstorm
Loud thunderclaps and torrential rain accompanied by high lightning activity in Chennai.,Thunderstorm
Hot summer breeze and blistering sunshine making commute difficult in Bengaluru.,Heatwave
Violent windstorm knocking down hoardings and electrical poles across Guwahati.,StrongWind
Light scattered drizzle in parts of Kochi followed by mild sunshine.,Other
Blinding sandstorm and severe dust haze rapidly reducing visibility across Kolkata.,DustStorm
dense fog advisory active in delhi. drivers urged to keep fog lights on.,Fog
Loud thunderclaps and torrential rain accompanied by high lightning activity in Bhopal.,Thunderstorm
Incessant rainfall leading to severe waterlogging on main roads in Patna. Water levels reaching 2 feet deep.,Flood
Continuous lightning and severe thunderclaps terrifying residents across Bhubaneswar.,Thunderstorm
"Massive dust storm sweeping through Pune, pushing thick dust clouds into residential areas.",DustStorm
Mild overcast weather in Bhubaneswar with pleasant afternoon breeze and clear skies.,Other
Waterlogging reported near railway station and main bus terminus in Kolkata. Commuters advised to avoid.,Flood
Normal seasonal weather condition recorded in Bhopal today. No warnings issued.,Other
Heavy deluge causing river overflow and severe urban flooding in outskirts of Kolkata.,Flood
Severe gusty winds uprooting large trees and damaging tin roofs in Kochi.,StrongWind
Extreme monsoon downpour submerges underpasses in Chennai. Emergency services responding to waterlogging.,Flood
violent thunderstorm with frequent lightning strikes and sudden heavy downpour hitting kolkata.,Thunderstorm
Strong squall and dust storm causing tree branches to snap in outer Pune.,DustStorm
High wind gusts exceeding 75 km/h causing structural damages in commercial hubs of Delhi.,StrongWind
Blistering heatwave and hot dry winds blowing across Chennai. Authorities issue heat advisory.,Heatwave
Severe weather alert: thunderstorm with sudden wind squalls hitting Lucknow this evening.,Thunderstorm
Severe heat stroke alert active across Lucknow. Temperatures expected to exceed 45C tomorrow.,Heatwave
Violent windstorm knocking down hoardings and electrical poles across Bhubaneswar.,StrongWind
Dense winter fog reducing visibility to below 20 meters near airport road in Kolkata.,Fog
Misty morning and poor visibility causing slow moving traffic on arterial roads in Chennai.,Fog
Mercury hits seasonal high in Patna. High temperature causing unbearable heatwave conditions.,Heatwave
dense winter fog reducing visibility to below 20 meters near airport road in surat.,Fog
Strong winds and high velocity squalls creating hazardous conditions in Chennai.,StrongWind
gale force winds and cyclone warnings issued for coastal areas surrounding nagpur.,StrongWind
Flooding reported in Chennai after 4 hours of non-stop rain. Submerged streets disrupting traffic.,Flood
Partly cloudy sky observed in Bhubaneswar with gentle evening breeze.,Other
blinding sandstorm and severe dust haze rapidly reducing visibility across hyderabad.,DustStorm
Cloudburst and severe hailstorm disrupting power supply and damaging crops near Guwahati.,Thunderstorm
Violent thunderstorm with frequent lightning strikes and sudden heavy downpour hitting Guwahati.,Thunderstorm
Misty morning and poor visibility causing slow moving traffic on arterial roads in Chandigarh.,Fog
Dense fog advisory active in Hyderabad. Drivers urged to keep fog lights on.,Fog
severe gusty winds uprooting large trees and damaging tin roofs in chennai.,StrongWind
Loud thunderclaps and torrential rain accompanied by high lightning activity in Mumbai.,Thunderstorm
Mild overcast weather in Indore with pleasant afternoon breeze and clear skies.,Other
Smog and low visibility enveloping entire city center of Ahmedabad during early hours.,Fog
High wind gusts exceeding 75 km/h causing structural damages in commercial hubs of Bhubaneswar.,StrongWind
Heavy deluge causing river overflow and severe urban flooding in outskirts of Kolkata.,Flood
Dense fog advisory active in Indore. Drivers urged to keep fog lights on.,Fog
Blinding sandstorm and severe dust haze rapidly reducing visibility across Surat.,DustStorm
Hot summer breeze and blistering sunshine making commute difficult in Surat.,Heatwave
severe gusty winds uprooting large trees and damaging tin roofs in guwahati.,StrongWind
Smog and low visibility enveloping entire city center of Delhi during early hours.,Fog
Scorching heatwave conditions in Delhi with mercury touching 44.5 degrees celsius.,Heatwave
Intense thunderstorm activity with heavy rain and small hail reported in suburban Hyderabad.,Thunderstorm
flooding reported in visakhapatnam after 4 hours of non-stop rain. submerged streets disrupting traffic.,Flood
Loud thunderclaps and torrential rain accompanied by high lightning activity in Bengaluru.,Thunderstorm
Gale force winds and cyclone warnings issued for coastal areas surrounding Bhopal.,StrongWind
Blistering heatwave and hot dry winds blowing across Bengaluru. Authorities issue heat advisory.,Heatwave
Waterlogging reported near railway station and main bus terminus in Chandigarh. Commuters advised to avoid.,Flood
Humidity levels rising slightly in Delhi with moderate cloud cover.,Other
Severe heat stroke alert active across Ahmedabad. Temperatures expected to exceed 45C tomorrow.,Heatwave
Misty morning and poor visibility causing slow moving traffic on arterial roads in Patna.,Fog
Zero visibility reported in Indore due to heavy blinding fog. Flight operations delayed.,Fog
Zero visibility reported in Bengaluru due to heavy blinding fog. Flight operations delayed.,Fog
Gale force winds and cyclone warnings issued for coastal areas surrounding Ahmedabad.,StrongWind
Thick dust clouds and turbulent winds creating blinding dust haze in Bengaluru.,DustStorm
High wind gusts exceeding 75 km/h causing structural damages in commercial hubs of Pune.,StrongWind
Scorching heatwave conditions in Pune with mercury touching 44.5 degrees celsius.,Heatwave
Loud thunderclaps and torrential rain accompanied by high lightning activity in Ahmedabad.,Thunderstorm
Blinding dust haze and windstorm disrupting local markets in Visakhapatnam.,DustStorm
Thick smog and mist blinding early morning commute across key highways in Kolkata.,Fog
Waterlogging reported near railway station and main bus terminus in Visakhapatnam. Commuters advised to avoid.,Flood
"Tempest winds tearing through streets of Hyderabad, downing power cables.",StrongWind
Hot summer breeze and blistering sunshine making commute difficult in Pune.,Heatwave
Incessant downpourfall leading to heavy waterlogging on main roads in Chennai. Water levels reaching 2 feet deep.,Flood
Dense winter fog reducing visibility to below 20 meters near airport road in Lucknow.,Fog
Flooding reported in Indore after 4 hours of non-stop rain. Submerged streets disrupting traffic.,Flood
Scorching heatwave conditions in Bengaluru with mercury touching 44.5 degrees celsius.,Heatwave
Zero visibility reported in Chandigarh due to heavy blinding fog. Flight operations delayed.,Fog
Severe heat stroke alert active across Mumbai. Temperatures expected to exceed 45C tomorrow.,Heatwave
Incessant rainfall leading to severe waterlogging on main roads in Jaipur. Water levels reaching 2 feet deep.,Flood
High wind gusts exceeding 75 km/h causing structural damages in commercial hubs of Hyderabad.,StrongWind
Mild overcast weather in Kochi with pleasant afternoon breeze and clear skies.,Other
Sudden duststorm engulfing highway corridors near Kolkata with high wind speeds.,DustStorm
Blinding dust haze and windstorm disrupting local markets in Surat.,DustStorm
Gale force winds and cyclone warnings issued for coastal areas surrounding Chennai.,StrongWind
Incessant rainfall leading to severe waterlogging on main roads in Jaipur. Water levels reaching 2 feet deep.,Flood
Waterlogging reported near railway station and main bus terminus in Hyderabad. Commuters advised to avoid.,Flood
Zero visibility reported in Chandigarh due to heavy blinding fog. Flight operations delayed.,Fog
Violent windstorm knocking down hoardings and electrical poles across Ahmedabad.,StrongWind
